timestamp,filename,maze_size,seed,algorithm,generation_time_ms,ram_peak_mb,file_size_bytes,backtrack_count,edges_processed,union_find_operations
2025-09-16 19:01:40,kruskal_strict_10_60.txt,10,60,kruskal,0.86,18.01,483,0,180,542
2025-09-16 19:01:40,kruskal_strict_10_61.txt,10,61,kruskal,1.1,18.01,483,0,180,656
2025-09-16 19:01:40,kruskal_strict_10_62.txt,10,62,kruskal,1.29,18.01,483,0,180,595
2025-09-16 19:01:40,kruskal_strict_10_63.txt,10,63,kruskal,0.78,18.01,483,0,180,590
2025-09-16 19:01:40,kruskal_strict_10_64.txt,10,64,kruskal,0.8,18.01,483,0,180,626
2025-09-16 19:01:40,kruskal_strict_10_65.txt,10,65,kruskal,2.03,18.01,483,0,180,633
2025-09-16 19:01:40,kruskal_strict_10_66.txt,10,66,kruskal,1.48,18.01,483,0,180,604
2025-09-16 19:01:40,kruskal_strict_10_67.txt,10,67,kruskal,1.48,18.01,483,0,180,595
2025-09-16 19:01:40,kruskal_strict_10_68.txt,10,68,kruskal,2.01,18.01,483,0,180,531
2025-09-16 19:01:40,kruskal_strict_10_69.txt,10,69,kruskal,0.91,18.01,483,0,180,513
2025-09-16 19:01:40,kruskal_strict_10_70.txt,10,70,kruskal,1.09,18.01,483,0,180,687
2025-09-16 19:01:40,kruskal_strict_10_71.txt,10,71,kruskal,1.32,18.01,483,0,180,616
2025-09-16 19:01:40,kruskal_strict_10_72.txt,10,72,kruskal,0.86,18.01,483,0,180,591
2025-09-16 19:01:40,kruskal_strict_10_73.txt,10,73,kruskal,2.59,18.01,483,0,180,602
2025-09-16 19:01:40,kruskal_strict_10_74.txt,10,74,kruskal,1.4,18.01,483,0,180,584
2025-09-16 19:01:40,kruskal_strict_10_75.txt,10,75,kruskal,2.23,18.01,483,0,180,718
2025-09-16 19:01:40,kruskal_strict_10_76.txt,10,76,kruskal,1.6,18.01,483,0,180,706
2025-09-16 19:01:40,kruskal_strict_10_77.txt,10,77,kruskal,1.35,18.01,483,0,180,683
2025-09-16 19:01:40,kruskal_strict_10_78.txt,10,78,kruskal,0.87,18.01,483,0,180,729
